SPORT,SEMESTER,DATE
Women's Basketball,Fall_2024,12/19/2024
Women's Basketball,Fall_2024,12/29/2024
Women's Basketball,Spring_2025,1/2/2025
Women's Basketball,Spring_2025,1/8/2025
Women's Basketball,Spring_2025,1/14/2025
Women's Basketball,Spring_2025,1/26/2025
Women's Basketball,Spring_2025,2/2/2025
Women's Basketball,Spring_2025,2/13/2025
Women's Basketball,Spring_2025,2/17/2025
Women's Basketball,Spring_2025,3/2/2025
Women's Basketball,Spring_2025,3/22/2025
Women's Basketball,Spring_2025,3/24/2025
Women's Basketball,Fall_2025,11/3/2025
Women's Basketball,Fall_2025,11/6/2025
Women's Basketball,Fall_2025,11/9/2025
Women's Basketball,Fall_2025,11/13/2025
Women's Basketball,Fall_2025,11/16/2025
Women's Basketball,Fall_2025,11/20/2025
Women's Basketball,Fall_2025,11/23/2025
Women's Basketball,Fall_2025,12/3/2025
Women's Basketball,Fall_2025,12/10/2025
Women's Basketball,Fall_2025,12/19/2025
Women's Basketball,Fall_2025,12/29/2025
Women's Basketball,Spring_2026,1/4/2026
Women's Basketball,Spring_2026,1/11/2026
Women's Basketball,Spring_2026,1/22/2026
Women's Basketball,Spring_2026,1/28/2026
Women's Basketball,Spring_2026,1/29/2026
Women's Basketball,Spring_2026,1/30/2026
Women's Basketball,Spring_2026,1/31/2026
Women's Basketball,Spring_2026,2/1/2026
Soccer,Fall_2022,8/13/2022
Soccer,Fall_2022,8/19/2022
Soccer,Fall_2022,8/25/2022
Soccer,Fall_2022,8/28/2022
Soccer,Fall_2022,9/2/2022
Soccer,Fall_2022,9/20/2022
Soccer,Fall_2022,9/25/2022
Soccer,Fall_2022,9/30/2022
Soccer,Fall_2022,10/14/2022
Soccer,Fall_2022,10/17/2022
Soccer,Fall_2022,10/21/2022
Soccer,Fall_2022,10/25/2022
Soccer,Fall_2022,11/4/2022
Soccer,Fall_2022,11/9/2022
Soccer,Fall_2022,11/17/2022
Soccer,Fall_2023,8/24/2023
Soccer,Fall_2023,8/27/2023
Soccer,Fall_2023,9/1/2023
Soccer,Fall_2023,9/8/2023
Soccer,Fall_2023,9/14/2023
Soccer,Fall_2023,9/29/2023
Soccer,Fall_2023,10/3/2023
Soccer,Fall_2023,10/7/2023
Soccer,Fall_2023,10/10/2023
Soccer,Fall_2023,10/20/2023
Soccer,Fall_2023,10/24/2023
Soccer,Fall_2024,8/25/2024
Soccer,Fall_2024,8/30/2024
Soccer,Fall_2024,9/2/2024
Soccer,Fall_2024,9/6/2024
Soccer,Fall_2024,9/9/2024
Soccer,Fall_2024,9/13/2024
Soccer,Fall_2024,10/1/2024
Soccer,Fall_2024,10/5/2024
Soccer,Fall_2024,10/15/2024
Soccer,Fall_2024,10/21/2024
Soccer,Fall_2024,11/3/2024
Soccer,Fall_2024,11/21/2024
Soccer,Fall_2025,8/29/2025
Soccer,Fall_2025,9/1/2025
Soccer,Fall_2025,9/6/2025
Soccer,Fall_2025,9/19/2025
Soccer,Fall_2025,9/26/2025
Soccer,Fall_2025,10/10/2025
Soccer,Fall_2025,10/14/2025
Soccer,Fall_2025,10/24/2025
Soccer,Fall_2025,10/31/2025
Soccer,Fall_2025,11/12/2025
Soccer,Fall_2025,11/23/2025
Soccer,Fall_2025,11/29/2025
Soccer,Fall_2025,12/6/2025
Lacrosse,Spring_2022,2/5/2022
Lacrosse,Spring_2022,2/12/2022
Lacrosse,Spring_2022,2/26/2022
Lacrosse,Spring_2022,3/12/2022
Lacrosse,Spring_2022,4/10/2022
Lacrosse,Spring_2022,4/16/2022
Lacrosse,Spring_2022,5/15/2022
Lacrosse,Spring_2022,5/30/2022
Lacrosse,Spring_2023,2/4/2023
Lacrosse,Spring_2023,2/18/2023
Lacrosse,Spring_2023,3/4/2023
Lacrosse,Spring_2023,3/25/2023
Lacrosse,Spring_2023,4/1/2023
Lacrosse,Spring_2023,4/22/2023
Lacrosse,Spring_2023,4/29/2023
Lacrosse,Spring_2023,5/13/2023
Lacrosse,Spring_2024,2/10/2024
Lacrosse,Spring_2024,2/24/2024
Lacrosse,Spring_2024,3/9/2024
Lacrosse,Spring_2024,3/16/2024
Lacrosse,Spring_2024,4/6/2024
Lacrosse,Spring_2024,4/13/2024
Lacrosse,Spring_2024,5/11/2024
Lacrosse,Spring_2025,2/1/2025
Lacrosse,Spring_2025,2/15/2025
Lacrosse,Spring_2025,3/8/2025
Lacrosse,Spring_2025,3/22/2025
Lacrosse,Spring_2025,3/29/2025
Lacrosse,Spring_2025,4/18/2025
Lacrosse,Spring_2025,5/11/2025
Lacrosse,Spring_2026,2/7/2026
Lacrosse,Spring_2026,2/21/2026
Lacrosse,Spring_2026,2/28/2026
Lacrosse,Spring_2026,3/14/2026
Lacrosse,Spring_2026,4/4/2026
Lacrosse,Spring_2026,4/11/2026
