SPORT,SEMESTER,DATE
Women's Basketball,Fall_2024,2024-12-19
Women's Basketball,Fall_2024,2024-12-29
Women's Basketball,Spring_2025,2025-1-2
Women's Basketball,Spring_2025,2025-1-8
Women's Basketball,Spring_2025,2025-1-14
Women's Basketball,Spring_2025,2025-1-26
Women's Basketball,Spring_2025,2025-2-2
Women's Basketball,Spring_2025,2025-2-13
Women's Basketball,Spring_2025,2025-2-17
Women's Basketball,Spring_2025,2025-3-2
Women's Basketball,Spring_2025,2025-3-22
Women's Basketball,Spring_2025,2025-3-24
Women's Basketball,Fall_2025,2025-11-3
Women's Basketball,Fall_2025,2025-11-6
Women's Basketball,Fall_2025,2025-11-9
Women's Basketball,Fall_2025,2025-11-13
Women's Basketball,Fall_2025,2025-11-16
Women's Basketball,Fall_2025,2025-11-20
Women's Basketball,Fall_2025,2025-11-23
Women's Basketball,Fall_2025,2025-12-3
Women's Basketball,Fall_2025,2025-12-10
Women's Basketball,Fall_2025,2025-12-19
Women's Basketball,Fall_2025,2025-12-29
Women's Basketball,Spring_2026,2026-1-4
Women's Basketball,Spring_2026,2026-1-11
Women's Basketball,Spring_2026,2026-1-22
Women's Basketball,Spring_2026,2026-1-28
Women's Basketball,Spring_2026,2026-1-29
Women's Basketball,Spring_2026,2026-1-30
Women's Basketball,Spring_2026,2026-1-31
Women's Basketball,Spring_2026,2026-2-1
Soccer,Fall_2022,2022-8-13
Soccer,Fall_2022,2022-8-19
Soccer,Fall_2022,2022-8-25
Soccer,Fall_2022,2022-8-28
Soccer,Fall_2022,2022-9-2
Soccer,Fall_2022,2022-9-20
Soccer,Fall_2022,2022-9-25
Soccer,Fall_2022,2022-9-30
Soccer,Fall_2022,2022-10-14
Soccer,Fall_2022,2022-10-17
Soccer,Fall_2022,2022-10-21
Soccer,Fall_2022,2022-10-25
Soccer,Fall_2022,2022-11-4
Soccer,Fall_2022,2022-11-9
Soccer,Fall_2022,2022-11-17
Soccer,Fall_2023,2023-8-24
Soccer,Fall_2023,2023-8-27
Soccer,Fall_2023,2023-9-1
Soccer,Fall_2023,2023-9-8
Soccer,Fall_2023,2023-9-14
Soccer,Fall_2023,2023-9-29
Soccer,Fall_2023,2023-10-3
Soccer,Fall_2023,2023-10-7
Soccer,Fall_2023,2023-10-10
Soccer,Fall_2023,2023-10-20
Soccer,Fall_2023,2023-10-24
Soccer,Fall_2024,2024-8-25
Soccer,Fall_2024,2024-8-30
Soccer,Fall_2024,2024-9-2
Soccer,Fall_2024,2024-9-6
Soccer,Fall_2024,2024-9-9
Soccer,Fall_2024,2024-9-13
Soccer,Fall_2024,2024-10-1
Soccer,Fall_2024,2024-10-5
Soccer,Fall_2024,2024-10-15
Soccer,Fall_2024,2024-10-21
Soccer,Fall_2024,2024-11-3
Soccer,Fall_2024,2024-11-21
Soccer,Fall_2025,2025-8-29
Soccer,Fall_2025,2025-9-1
Soccer,Fall_2025,2025-9-6
Soccer,Fall_2025,2025-9-19
Soccer,Fall_2025,2025-9-26
Soccer,Fall_2025,2025-10-10
Soccer,Fall_2025,2025-10-14
Soccer,Fall_2025,2025-10-24
Soccer,Fall_2025,2025-10-31
Soccer,Fall_2025,2025-11-12
Soccer,Fall_2025,2025-11-23
Soccer,Fall_2025,2025-11-29
Soccer,Fall_2025,2025-12-6
Lacrosse,Spring_2022,2022-2-5
Lacrosse,Spring_2022,2022-2-12
Lacrosse,Spring_2022,2022-2-26
Lacrosse,Spring_2022,2022-3-12
Lacrosse,Spring_2022,2022-4-10
Lacrosse,Spring_2022,2022-4-16
Lacrosse,Spring_2022,2022-5-15
Lacrosse,Spring_2022,2022-5-30
Lacrosse,Spring_2023,2023-2-4
Lacrosse,Spring_2023,2023-2-18
Lacrosse,Spring_2023,2023-3-4
Lacrosse,Spring_2023,2023-3-25
Lacrosse,Spring_2023,2023-4-1
Lacrosse,Spring_2023,2023-4-22
Lacrosse,Spring_2023,2023-4-29
Lacrosse,Spring_2023,2023-5-13
Lacrosse,Spring_2024,2024-2-10
Lacrosse,Spring_2024,2024-2-24
Lacrosse,Spring_2024,2024-3-9
Lacrosse,Spring_2024,2024-3-16
Lacrosse,Spring_2024,2024-4-6
Lacrosse,Spring_2024,2024-4-13
Lacrosse,Spring_2024,2024-5-11
Lacrosse,Spring_2025,2025-2-1
Lacrosse,Spring_2025,2025-2-15
Lacrosse,Spring_2025,2025-3-8
Lacrosse,Spring_2025,2025-3-22
Lacrosse,Spring_2025,2025-3-29
Lacrosse,Spring_2025,2025-4-18
Lacrosse,Spring_2025,2025-5-11
Lacrosse,Spring_2026,2026-2-7
Lacrosse,Spring_2026,2026-2-21
Lacrosse,Spring_2026,2026-2-28
Lacrosse,Spring_2026,2026-3-14
Lacrosse,Spring_2026,2026-4-4
Lacrosse,Spring_2026,2026-4-11
